集計開始,集計終了,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,年月日,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),平均現地気圧(hPa),平均風速(m/s),日照時間(時間),日照時間(時間)
,,,,,,現象なし情報,,,,現象なし情報
2018/12/30,2019/1/5,6.3,9.7,3.4,0.5,0,1023.6,3.3,33.2,0
2019/1/6,2019/1/12,6.6,9.4,4,0,0,1018.7,3.2,26,0
2019/1/13,2019/1/19,7.1,10.5,4,0.5,0,1017.1,2.9,42.5,0
2019/1/20,2019/1/26,6.9,10.2,4,1.5,0,1012.6,3.9,34.4,0
2019/1/27,2019/2/2,5.7,9.1,2.7,12.5,0,1017,3.2,32.1,0
2019/2/3,2019/2/9,8.6,11.8,5.5,10,0,1014.6,3.5,23,0
2019/2/10,2019/2/16,5.7,8.9,3.3,1,0,1021.1,3.6,27.2,0
2019/2/17,2019/2/23,8.9,12,5.8,13.5,0,1016.8,3.4,28.2,0
2019/2/24,2019/3/2,10,13.2,6.6,11.5,0,1015.7,3,43.1,0
2019/3/3,2019/3/9,10.2,13.5,7.1,28,0,1012.6,3.7,33.7,0
2019/3/10,2019/3/16,10.1,13.6,6.4,27,0,1010.2,4.8,35.1,0
2019/3/17,2019/3/23,11.1,15.3,7.4,8,0,1012.4,3.2,29.2,0
2019/3/24,2019/3/30,11.9,15.5,7.8,15.5,0,1011.6,3.2,41.2,0
2019/3/31,2019/4/6,10.7,14.9,6.8,3,0,1012,3.7,60.6,0
2019/4/7,2019/4/13,12.6,16.7,9.1,22.5,0,1009.9,4.4,55.9,0
2019/4/14,2019/4/20,15.3,19.8,11.5,25.5,0,1012,3.3,57.8,0
2019/4/21,2019/4/27,18.5,22.4,15.4,7,0,1008.2,3.4,38.6,0
2019/4/28,2019/5/4,16.9,20.3,13.1,35,0,1010,3.4,34.2,0
2019/5/5,2019/5/11,18.3,23,13.8,1.5,0,1010.6,3.1,72.2,0
2019/5/12,2019/5/18,21.1,25.2,17.8,0,0,1012.5,3.7,60.6,0
2019/5/19,2019/5/25,22.3,27.1,18.4,42.5,0,1007.4,3.6,69.5,0
2019/5/26,2019/6/1,22.2,25.9,19.5,47,0,1008.4,3,49.5,0
2019/6/2,2019/6/8,23.1,26.5,20.3,24,0,1005.4,3.5,39.3,0
2019/6/9,2019/6/15,22.5,26.5,19.6,17,0,1001.3,5,49.4,0
2019/6/16,2019/6/22,23.4,27,20.6,0,0,1003.8,3.4,60.1,0
2019/6/23,2019/6/29,24.7,27.9,22.1,78,0,1004.7,3.2,41.4,0
2019/6/30,2019/7/6,24.8,27.5,22.9,69.5,0,1001.5,4.1,9.4,0
2019/7/7,2019/7/13,25,28.4,22.4,41.5,0,1002.8,4.7,28,0
2019/7/14,2019/7/20,25.6,28.7,23,87,0,1006.6,2.5,23.1,0
2019/7/21,2019/7/27,28.1,31.1,25.8,61,0,1005.3,3.3,32.9,0
2019/7/28,2019/8/3,29.9,34,27.8,0,0,1008.9,3.2,72.6,0
2019/8/4,2019/8/10,30,34,27.5,0,0,1006.4,4.3,72.8,0
2019/8/11,2019/8/17,30.3,34.3,27.7,125.5,0,997,7.2,57.1,0
2019/8/18,2019/8/24,28.1,31,26,25.5,0,1005.8,3.3,27.3,0
2019/8/25,2019/8/31,26.1,28.7,24,69.5,0,1007.7,3,26.7,0
2019/9/1,2019/9/7,28.4,32.3,25.9,1.5,0,1012.1,3.6,57.7,0
2019/9/8,2019/9/14,28.3,31.8,25.8,18,0,1008.6,4.3,59.5,0
2019/9/15,2019/9/21,25.4,29.6,22.3,8.5,0,1008.1,3.9,48.6,0
2019/9/22,2019/9/28,25.4,28.5,22.8,11,0,1014,4.5,30.2,0
2019/9/29,2019/10/5,26,29.4,23.4,14.5,0,1011.1,3.4,40.9,0
2019/10/6,2019/10/12,23,27,19.1,55.5,0,1008.9,5.1,33.5,0
2019/10/13,2019/10/19,19.7,22.8,17,25,0,1016.4,4.8,24.4,0
2019/10/20,2019/10/26,20,22.9,17.3,55.5,0,1011.4,4.5,19,0
2019/10/27,2019/11/2,17.7,21.3,14.6,9.5,0,1014.4,2.6,48.4,0
2019/11/3,2019/11/9,15.5,19.3,11.6,0,0,1013.2,2.8,58.5,0
2019/11/10,2019/11/16,15.3,19,11.3,1,0,1013.3,3.7,51.5,0
2019/11/17,2019/11/23,14.3,18.2,10.6,3,0,1019.8,3.3,45.5,0
2019/11/24,2019/11/30,12.5,15.4,9.5,0,0,1020.2,3.2,24.9,0
2019/12/1,2019/12/7,9.7,13,6.8,21.5,0,1019.6,3.9,31.7,0
2019/12/8,2019/12/14,9.9,13.7,6.3,0,0,1019.5,2.5,41.9,0
2019/12/15,2019/12/21,10.6,13.1,7.8,11.5,0,1018.6,2.8,28.2,0
2019/12/22,2019/12/28,9.4,12.3,6.3,12,0,1015.6,3.2,31.1,0
2019/12/29,2020/1/4,9,12.3,5.7,17.5,0,1019.5,3.8,33.8,0
2020/1/5,2020/1/11,8.9,12.2,6.3,24,0,1015.7,3.9,32.1,0
2020/1/12,2020/1/18,7.9,10.4,5.7,2,0,1014.5,3.2,27.7,0
2020/1/19,2020/1/25,9,11.7,6.3,29,0,1019.5,3.6,18.2,0
2020/1/26,2020/2/1,9.2,12.7,6.6,7.5,0,1010.5,5.7,28.1,0
2020/2/2,2020/2/8,6.2,9.7,3.1,0,0,1019.6,3.2,44.2,0
2020/2/9,2020/2/15,9.2,12.9,5.7,11,0,1018.4,3.3,33.3,0
2020/2/16,2020/2/22,8.8,12.5,5.6,27,0,1018.1,4.3,40.9,0
2020/2/23,2020/2/29,8.8,11.8,6.1,17,0,1018,3.3,27.3,0
2020/3/1,2020/3/7,9.6,12.9,6.6,19,0,1015.6,3.4,47.4,0
2020/3/8,2020/3/14,11.6,14.9,8.4,30.5,0,1009.6,3.4,36.7,0
2020/3/15,2020/3/21,11,15.5,6.9,5.5,0,1009.6,3.6,68.9,0
2020/3/22,2020/3/28,13.2,17.1,9.6,37,0,1013.4,3.1,42.3,0
2020/3/29,2020/4/4,12.7,16.3,9.5,29.5,0,1012.9,4.5,32.4,0
2020/4/5,2020/4/11,11.9,15.8,8.2,0,0,1014.6,3.6,69.9,0
2020/4/12,2020/4/18,13.4,16.9,10,59.5,0,1007.3,5,43,0
2020/4/19,2020/4/25,13.9,17.4,10.8,18.5,0,1009.2,4.3,41.7,0
2020/4/26,2020/5/2,17.4,21.1,14.1,0,0,1014.1,3.2,71.6,0
2020/5/3,2020/5/9,19.5,23.5,16.3,4,0,1010.2,3.4,40.7,0
2020/5/10,2020/5/16,20.2,24,16.8,21,0,1007.4,3.6,46.4,0
2020/5/17,2020/5/23,20.5,24.6,17.2,55.5,0,1004.6,3.9,49.8,0
2020/5/24,2020/5/30,22.2,25.7,18.9,5,0,1007.9,3.2,60,0
2020/5/31,2020/6/6,23.5,26.8,20.8,5,0,1005.3,3.1,39.8,0
2020/6/7,2020/6/13,24.1,27.3,21.7,78,0,1008,3.2,41.9,0
2020/6/14,2020/6/20,23.6,27.1,20.9,82,0,1001.9,3.8,33.9,0
2020/6/21,2020/6/27,25.5,28.8,22.7,2.5,0,1004.6,3.7,43.6,0
2020/6/28,2020/7/4,24,26.6,21.4,160.5,0,1002.4,4,21.2,0
2020/7/5,2020/7/11,25,27.3,23.2,240,0,1003.8,3.3,8.1,0
2020/7/12,2020/7/18,24.7,27.6,22.6,95.5,0,1002.9,4,22.8,0
2020/7/19,2020/7/25,27.3,30.2,25.3,131.5,0,1006.6,3.1,32.2,0
2020/7/26,2020/8/1,27.2,30.7,24.7,40,0,1009.5,2.9,31.1,0
2020/8/2,2020/8/8,28.7,31.8,26.6,0,0,1009.5,3.1,49.7,0
2020/8/9,2020/8/15,30.3,34,27.8,0,0,1008.7,3.5,66.8,0
2020/8/16,2020/8/22,31.1,35.6,28.2,1.5,0,1007.8,2.9,81,0
2020/8/23,2020/8/29,30.1,34.1,27.5,5,0,1005.8,3.2,75.7,0
2020/8/30,2020/9/5,29.8,34.3,27.1,48,0,1006.8,3.2,51.1,0
2020/9/6,2020/9/12,27.3,30.4,25.1,18,0,1007.8,4.3,30.9,0
2020/9/13,2020/9/19,25.9,28.6,23.5,4,0,1008.7,3.2,27.5,0
2020/9/20,2020/9/26,23.9,27.1,21.3,82,0,1007.8,3.9,23.7,0
2020/9/27,2020/10/3,22.7,26.3,19.4,4,0,1008.7,3,47.9,0
2020/10/4,2020/10/10,20.8,24.2,18.2,99.5,0,1012.5,5.4,17.4,0
2020/10/11,2020/10/17,20.3,24,17.9,19,0,1013.3,2.8,46.1,0
2020/10/18,2020/10/24,17.6,20.9,14.2,34,0,1013.8,4,37.2,0
2020/10/25,2020/10/31,16.1,19.8,12.6,0,0,1016.7,2.9,57.8,0
2020/11/1,2020/11/7,15.8,19,12.1,43.5,0,1016.7,3.5,33.6,0
2020/11/8,2020/11/14,14.2,17.8,11.1,0,0,1020.8,3.3,42.8,0
2020/11/15,2020/11/21,18,21.4,14,4.5,0,1018.2,3.2,50.4,0
2020/11/22,2020/11/28,13.5,16.6,10.2,0.5,0,1017.4,3.1,37.8,0
2020/11/29,2020/12/5,11.2,15.1,7.9,0,0,1021.3,2.9,52.5,0
2020/12/6,2020/12/12,11.7,15.2,8.4,0,1,1016.8,2.6,50.1,0
2020/12/13,2020/12/19,6.5,9.9,3.6,0,0,1015.9,4.9,31.9,0
2020/12/20,2020/12/26,7.4,11,4.2,2,0,1018.4,3.4,44.8,0
2020/12/27,2021/1/2,6.6,10,3.3,11.5,0,1014.6,4.1,39.8,0
2021/1/3,2021/1/9,3.9,7.1,1.1,0,0,1016.5,4.7,35.9,0
2021/1/10,2021/1/16,6,10,2.3,3,0,1016.5,3,40.8,0
2021/1/17,2021/1/23,6.3,9.1,3.3,33.5,0,1018.8,3,34.4,0
2021/1/24,2021/1/30,8.4,12.1,5.4,18,0,1015,4.2,37.4,0
2021/1/31,2021/2/6,8.1,12.1,4.2,5.5,0,1017.3,3.6,45.8,0
2021/2/7,2021/2/13,8.9,12.6,4.9,0,0,1018.2,3.1,49.5,0
2021/2/14,2021/2/20,8.1,12,4.1,25.5,0,1007.9,4.8,47.4,0
2021/2/21,2021/2/27,9.7,14.1,5.6,3,0,1017.1,3.9,51.6,0
2021/2/28,2021/3/6,11.2,15.7,6.5,24,0,1019.8,4.7,34.3,0
2021/3/7,2021/3/13,10.1,14.2,6.3,27.5,0,1019.1,3.4,34.6,0
2021/3/14,2021/3/20,12.6,17.3,8,2,0,1013.7,3,56.3,0
2021/3/21,2021/3/27,12.9,17,8.8,29.5,0,1014.8,3.3,51,0
2021/3/28,2021/4/3,16.9,20.8,13.5,14,0,1010.8,3.5,48.2,0
2021/4/4,2021/4/10,13.2,17.1,9.3,23,0,1014.9,3.5,56.1,0
2021/4/11,2021/4/17,15,18.9,11,45.5,0,1016.5,4,35.5,0
2021/4/18,2021/4/24,16.3,20.9,12,2.5,0,1014.4,3.4,70.4,0
2021/4/25,2021/5/1,16.1,20.1,12.3,100,0,1010.3,3.6,46.2,0
2021/5/2,2021/5/8,16.8,20,13.3,43,0,1010.6,3.2,41.6,0
2021/5/9,2021/5/15,20.3,24.5,16.7,6,0,1009.4,4.9,47.5,0
2021/5/16,2021/5/22,21,23.5,19.2,155,0,1005.3,3.7,7.3,0
2021/5/23,2021/5/29,20.3,23.3,17.3,39.5,0,1003.8,3.3,41.2,0
2021/5/30,2021/6/5,22,25.8,18.8,34,0,1006.7,3.2,53.5,0
2021/6/6,2021/6/12,24.2,28.1,21,0,0,1011.8,2.9,58.8,0
2021/6/13,2021/6/19,23.3,26,21.2,57.5,0,1002.2,3.2,32,0
2021/6/20,2021/6/26,24.1,27.8,21.4,0,0,1005.2,2.8,43.5,0
2021/6/27,2021/7/3,24.8,27.4,22.5,47.5,0,1003.9,4,22.9,0
2021/7/4,2021/7/10,26.6,29.3,24.8,123.5,0,1006.6,2.9,6.2,0
2021/7/11,2021/7/17,27,31.1,24.1,23.5,0,1011.2,3.3,37.9,0
2021/7/18,2021/7/24,28.5,33.2,26,0,0,1009.4,3.6,82.9,0
2021/7/25,2021/7/31,29,33.2,26.5,0,0,999.7,3.2,65.1,0
2021/8/1,2021/8/7,29.6,34.4,27.1,36,0,1002.7,4,62.8,0
2021/8/8,2021/8/14,27.2,29.6,25.3,136.5,0,1002.7,4.5,22.6,0
2021/8/15,2021/8/21,25.1,27.6,23,195,0,1009.9,3.2,8.7,0
2021/8/22,2021/8/28,28.4,31.4,26.4,1,0,1008.9,3.2,43.9,0
2021/8/29,2021/9/4,27.2,29.8,25.2,77.5,0,1008,3.2,29.1,0
2021/9/5,2021/9/11,25.5,28.9,22.6,44,0,1009.9,3.1,42.3,0
2021/9/12,2021/9/18,24.3,26.9,22.1,65,0,1009.7,3.2,10,0
2021/9/19,2021/9/25,25.6,29.5,22.8,0.5,0,1011.6,3.6,53.3,0
2021/9/26,2021/10/2,24.6,27.9,21.9,0.5,0,1008.6,5,33.9,0
2021/10/3,2021/10/9,24.9,28.6,21.6,0,1,1017.9,2.8,70.5,0
2021/10/10,2021/10/16,24.2,27.5,21.7,4,0,1014.8,3,39.1,0
2021/10/17,2021/10/23,15.7,19.1,12.8,8,0,1014.6,3.8,38.2,0
2021/10/24,2021/10/30,16.6,20.6,13,29.5,0,1017.2,3.8,45,0
2021/10/31,2021/11/6,17.5,21.2,14,1.5,0,1015.1,2.8,47.6,0
2021/11/7,2021/11/13,15,18.3,12.2,26,0,1009.9,5.2,26.9,0
2021/11/14,2021/11/20,14.7,18.7,11.2,0,1,1016.1,2.4,53.4,0
2021/11/21,2021/11/27,12.5,15.6,9.3,33,0,1013.8,4.2,34.6,0
2021/11/28,2021/12/4,10.2,14.8,6.3,58,0,1016.9,4,47.6,0
2021/12/5,2021/12/11,11.3,14.1,8.5,6,0,1021.6,2.5,31.5,0
2021/12/12,2021/12/18,9.6,13.5,5.6,28,0,1014.7,4.1,40.8,0
2021/12/19,2021/12/25,8.9,12.3,5.2,0.5,0,1014.8,3.5,35.8,0
2021/12/26,2022/1/1,4.9,8,1.9,0.5,0,1017.6,5,35.1,0
